employee_id,timestamp,files_downloaded,printed_pages,data_transfer_mb
101,2026-03-13 09:00,0,0,1
101,2026-03-13 14:30,0,2,5
102,2026-03-13 10:20,0,0,2
102,2026-03-13 11:00,0,2,10
103,2026-03-13 08:15,0,0,5
103,2026-03-13 14:45,0,2,3
104,2026-03-13 17:00,0,0,1
105,2026-03-13 09:30,0,0,2
106,2026-03-13 10:10,2,10,30
107,2026-03-13 22:45,25,50,900
108,2026-03-13 13:20,0,0,5
109,2026-03-13 11:30,0,0,1
110,2026-03-13 16:00,5,20,100
111,2026-03-13 01:15,10,0,150
112,2026-03-13 10:45,0,0,2
113,2026-03-13 14:10,0,0,5
114,2026-03-13 15:30,2,5,30
115,2026-03-13 23:55,30,100,2000
116,2026-03-13 09:20,0,0,1
117,2026-03-13 12:40,0,0,2
118,2026-03-13 14:05,0,0,3
119,2026-03-13 03:30,15,0,400
120,2026-03-13 11:15,0,0,1
121,2026-03-13 16:45,0,0,2
122,2026-03-13 10:05,0,0,5
123,2026-03-13 13:50,0,0,1
124,2026-03-13 21:30,12,0,500
125,2026-03-13 08:50,0,0,2
126,2026-03-13 15:10,0,0,3
127,2026-03-13 12:00,0,0,1
128,2026-03-13 04:15,18,0,700
129,2026-03-13 10:30,3,15,50
130,2026-03-13 14:25,0,0,5
